"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5.478279380E-1;4.890156984E-1;7.062894851E-2;9.821015358E0;9.833436198E0
5.498246570E-1;4.938040972E-1;9.935937077E-2;9.830592155E0;9.843488045E0
5.518213750E-1;4.938040972E-1;9.935937077E-2;9.825803757E0;9.838705923E0
5.538180940E-1;4.985924959E-1;8.499415964E-2;9.835380554E0;9.848376979E0
5.558148130E-1;5.177460909E-1;8.499415964E-2;9.816226959E0;9.830238895E0
5.578115320E-1;4.890156984E-1;8.978256583E-2;9.806650162E0;9.819245626E0
5.598082500E-1;5.081692934E-1;8.020575345E-2;9.821015358E0;9.834480752E0
5.618049690E-1;5.033808947E-1;8.978256583E-2;9.830592155E0;9.843881113E0
5.638016880E-1;4.650736749E-1;6.584054977E-2;9.825803757E0;9.837024345E0
5.657984070E-1;4.985924959E-1;8.978256583E-2;9.830592155E0;9.843637413E0
5.677951250E-1;4.842272997E-1;8.020575345E-2;9.816226959E0;9.828490258E0
5.697918440E-1;5.033808947E-1;9.457096457E-2;9.835380554E0;9.848707866E0
5.717885630E-1;5.081692934E-1;9.457096457E-2;9.821015358E0;9.834608399E0
5.737852820E-1;4.938040972E-1;8.499415964E-2;9.811438560E0;9.824224810E0
5.757820000E-1;4.890156984E-1;1.041477770E-1;9.830592155E0;9.843298494E0
5.777787190E-1;4.794389009E-1;9.935937077E-2;9.825803757E0;9.837995396E0
5.797754380E-1;4.985924959E-1;8.978256583E-2;9.816226959E0;9.829291282E0
5.817721570E-1;5.033808947E-1;9.935937077E-2;9.825803757E0;9.839191231E0
5.837688750E-1;5.033808947E-1;9.935937077E-2;9.816226959E0;9.829627476E0
5.857655940E-1;4.746504724E-1;1.041477770E-1;9.806650162E0;9.818682561E0
5.877623130E-1;4.985924959E-1;9.457096457E-2;9.811438560E0;9.824554177E0
5.897590320E-1;4.842272997E-1;7.541735470E-2;9.821015358E0;9.833234794E0
5.917557500E-1;5.081692934E-1;8.020575345E-2;9.825803757E0;9.839262597E0
5.937524690E-1;4.842272997E-1;9.935937077E-2;9.821015358E0;9.833447566E0
5.957491880E-1;4.985924959E-1;9.457096457E-2;9.821015358E0;9.834118202E0
5.977459070E-1;4.890156984E-1;8.499415964E-2;9.816226959E0;9.828767577E0
5.997426250E-1;4.890156984E-1;9.457096457E-2;9.825803757E0;9.838419562E0
6.017393440E-1;4.938040972E-1;8.978256583E-2;9.825803757E0;9.838613869E0
6.037360630E-1;4.890156984E-1;8.499415964E-2;9.825803757E0;9.838332167E0
6.057327820E-1;5.033808947E-1;8.499415964E-2;9.821015358E0;9.834274706E0
6.077295000E-1;4.938040972E-1;9.457096457E-2;9.821015358E0;9.833876591E0
6.097262190E-1;4.985924959E-1;8.499415964E-2;9.816226959E0;9.829248710E0
6.117229380E-1;4.938040972E-1;9.935937077E-2;9.840168953E0;9.853052308E0
