"Pos_1_1";"B_1_1";"Pos_1_2";"B_1_2";"Pos_1_3";"B_1_3";"Pos_05_1";"B_2_1";"Pos_05_2";"B_2_2";"Pos_05_3";"B_2_3"
0,3944;1,4347E-4;0,2157;0,0030;0,2874;5,5015E-4;0,3439;1,1428E-4;0,3514;6,3284E-5;0,4017;-3,1724E-5
0,3959;1,3358E-4;0,2167;0,0030;0,2882;5,3621E-4;0,3446;1,1221E-4;0,3522;6,2869E-5;0,4017;-3,3005E-5
0,3975;1,3277E-4;0,2177;0,0030;0,2891;5,2702E-4;0,3455;1,1428E-4;0,3531;6,2466E-5;0,4017;-3,2297E-5
0,3992;1,3048E-4;0,2188;0,0029;0,2899;5,1181E-4;0,3464;1,0772E-4;0,3538;6,1880E-5;0,4017;-3,2407E-5
0,4010;1,2104E-4;0,2200;0,0029;0,2908;5,0143E-4;0,3474;1,0717E-4;0,3545;5,7485E-5;0,4017;-3,3408E-5
0,4029;1,1872E-4;0,2212;0,0028;0,2917;4,8747E-4;0,3484;1,0397E-4;0,3552;5,6814E-5;0,4017;-3,1321E-5
0,4048;1,1093E-4;0,2222;0,0028;0,2927;4,7388E-4;0,3494;1,0227E-4;0,3559;5,3701E-5;0,4017;-3,0515E-5
0,4067;1,0598E-4;0,2233;0,0027;0,2937;4,6382E-4;0,3505;1,0114E-4;0,3566;5,5520E-5;0,4017;-3,3982E-5
0,4086;1,0218E-4;0,2243;0,0027;0,2947;4,5124E-4;0,3516;9,8892E-5;0,3572;5,3860E-5;0,4017;-3,2297E-5
0,4105;1,0193E-4;0,2251;0,0026;0,2956;4,4131E-4;0,3525;9,5754E-5;0,3578;5,1809E-5;0,4017;-3,1833E-5
0,4124;9,5840E-5;0,2259;0,0026;0,2966;4,3028E-4;0,3535;9,4692E-5;0,3585;5,0979E-5;0,4017;
0,4143;9,2959E-5;0,2267;0,0026;0,2975;4,1637E-4;0,3544;8,9224E-5;0,3592;4,9648E-5;;
0,4161;9,0774E-5;0,2273;0,0025;0,2984;4,0711E-4;0,3552;8,9565E-5;0,3600;4,7976E-5;;
0,4180;8,3206E-5;0,2279;0,0025;0,2993;3,9801E-4;0,3560;8,7393E-5;0,3609;4,8538E-5;;
0,4199;8,1106E-5;0,2283;0,0025;0,3002;3,8518E-4;0,3568;8,6208E-5;0,3619;4,5632E-5;;
0,4217;7,5967E-5;0,2286;0,0025;0,3012;3,7461E-4;0,3577;8,4292E-5;0,3629;4,4827E-5;;
0,4235;7,4624E-5;0,2289;0,0025;0,3022;3,6579E-4;0,3587;8,5403E-5;0,3640;4,1580E-5;;
0,4252;7,0303E-5;0,2291;0,0025;0,3031;3,5395E-4;0,3598;8,2559E-5;0,3650;3,7429E-5;;
0,4267;7,0217E-5;0,2292;0,0025;0,3041;3,4716E-4;0,3612;8,3145E-5;0,3659;3,6465E-5;;
0,4282;6,6152E-5;0,2294;0,0025;0,3050;3,3893E-4;0,3625;7,6028E-5;0,3669;4,0396E-5;;
0,4296;6,2722E-5;0,2297;0,0024;0,3059;3,2780E-4;0,3640;7,5576E-5;0,3679;3,4292E-5;;
0,4308;6,0964E-5;0,2300;0,0024;0,3067;3,1797E-4;0,3655;7,5100E-5;0,3689;3,2766E-5;;
0,4320;6,0586E-5;0,2305;0,0024;0,3075;3,1244E-4;0,3671;7,3501E-5;0,3699;3,2620E-5;;
0,4331;5,8071E-5;0,2310;0,0024;0,3083;3,0854E-4;0,3686;6,9729E-5;0,3707;3,1973E-5;;
0,4341;5,7180E-5;0,2315;0,0024;0,3091;3,0023E-4;0,3701;6,8606E-5;0,3717;3,0715E-5;;
0,4351;5,5239E-5;0,2321;0,0023;0,3099;2,9198E-4;0,3716;6,4382E-5;0,3726;2,8079E-5;;
